Time,Age,Gender,Nationality,Location/Region,Marital Status,Highest Level of Education,Occupation,Purchaser,Egg usage,Egg usage (Frequency),Use of waste,"If Other, please specify",Knowledge of alternative,"If Yes, what uses were mentioned?",Do you think there are any health benefits in taking eggshell calcium?,"If Yes, please state any known benefits","If No, please state why",Do you use any calcium fortified products?,"How do you feel about using eggshell calcium to fortify products such as flour, cookies, bread, pasta, cereals and beverages?",Would you be willing to purchase and utilize such products?,Please state why,What would motivate you to buy a product fortified with eggshell calcium,"If Other, please specify",Do you have any concerns about the effects of eggshell powder on the product quality?,"If Yes, what are your concerns?","If Other, please specify"
04/07/2021 9:56,25-35,Male,Ghanaian,Kumasi,Single,Tertiary,Private sector,No,At least once every 3 days (Very often),06-Dec,Discard,,Yes,Poultry farming,Yes,Helps poultry to get calcium in great quantities.,,No,Have mixed feelings,No,I dont work under sectors that needs eggshell calcium.,Convenience,,No,,
04/07/2021 9:57,18-24,Male,Ghanaian,Accra,Single,Tertiary,Student,Yes,Rarely,0-5,Discard,,No,,No,,I do not have any idea about eggshell powder or its usefulness.,Yes,Don't mind,Yes,To eat more calcium rich foods.,Healthy,,No,,
04/07/2021 9:57,25-35,Female,Ghanaian,Ashanti,Single,Tertiary,Private sector,Yes,At least once every 3 days (Very often),0-5,Discard,,No,,No,,Never thought about it,Yes,Have mixed feelings,Yes,I'd like to give it a try,Healthy,,No,,
04/07/2021 9:57,18-24,Female,Ghanaian,Kasoa,Single,Tertiary,Student,Yes,At least once a week (Often),0-5,Discard,,No,,Yes,I don't know any yet but I think there's a benefit.,,Yes,Don't mind,Yes,"As long as it is healthy, I will use them.",Healthy,,Yes,Taste,
04/07/2021 9:57,18-24,Female,Ghanaian,Greater Accra,Single,Tertiary,Unemployed,Yes,At least once every 3 days (Very often),06-Dec,Discard,,No,,No,,I don't really know,Yes,Like it and would want to try such products,Yes,Because they are healthy,Healthy,,Yes,Taste,
04/07/2021 9:58,25-35,Female,Ghanaian,Accra,Single,None,Unemployed,Yes,At least once a month (Occasionally),0-5,Discard,,No,,No,,,No,Don't mind,Yes,Exploratory of modern goods created,Healthy,,Yes,Health risk,
04/07/2021 9:59,25-35,Female,Ghanaian,Winneba/ central Region,Single,Tertiary,Civil servant,Yes,At least once every 3 days (Very often),06-Dec,Discard,,No,,No,,I haven’t read much about it,Yes,Like it and would want to try such products,Yes,Would like to try something new,Healthy,,No,,
04/07/2021 9:59,18-24,Male,Ghanaian,Ashanti,Single,Tertiary,Student,Yes,At least once a week (Often),0-5,Discard,,No,,No,,I do not know,Yes,Don't mind,Yes,"If it is proven good, why not?",Healthy,,Yes,Health risk,
04/07/2021 10:00,18-24,Female,Ghanaian,Ashanti region,Single,Tertiary,Student,Yes,At least once a week (Often),0-5,Discard,,No,,Yes,"As I know the shells contain calcium, there will be a use for it but I don’t know any",,No,Have mixed feelings,No,I’m indifferent but more towards the no as trying new things generally takes some time,Convenience,,Yes,Safety/Contamination,The multiple choice could have more than one answer so please check it
04/07/2021 10:00,25-35,Male,Ghanaian,Greater Accra,Single,Tertiary,Private sector,No,At least once every 3 days (Very often),0-5,Discard,,No,,No,,,Yes,Like it and would want to try such products,Yes,Because is healthy,Healthy,,No,,
04/07/2021 10:01,18-24,Female,Ghanaian,Ashanti,Single,Tertiary,Student,Yes,At least once a month (Occasionally),0-5,Discard,,No,,No,,I have no idea,No,Have mixed feelings,No,It's not something I'm interested in,Healthy,,Yes,Safety/Contamination,
04/07/2021 10:01,18-24,Male,Ghanaian,Ashanti regiin,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),0-5,Discard,,Yes,They are additives that can be used as chicken feed,Yes,Is a source of protein,,Yes,Like it and would want to try such products,Yes,Since it contains protein and protein also repair tissue in the body,Healthy,,No,,
04/07/2021 10:02,18-24,Female,Ghanaian,Kumasi,Single,Tertiary,Civil servant,No,At least once every 3 days (Very often),06-Dec,Discard,,No,,No,,I don’t know about it.,No,Would not like it,No,I don’t like,Healthy,,No,Price,
04/07/2021 10:04,18-24,Male,Ghanaian,Mampong/ Ashanti,Single,Tertiary,Student,Yes,At least once a week (Often),0-5,Discard,,No,,No,So,I do not think the calcium will be available for use by the body,No,Have mixed feelings,Yes,I would like to know if it adds any flavour to food,Healthy,,Yes,Safety/Contamination,
04/07/2021 10:11,18-24,Female,Ghanaian,Cape coast,Single,SHS/Vocational,Private sector,Yes,At least once every 3 days (Very often),0-5,Discard,,No,,No,,I don’t know,No,Like it and would want to try such products,Yes,Because it’s healthy,Healthy,,Yes,Price,
04/07/2021 10:11,18-24,Male,Ghanaian,Greater Accra,Single,Tertiary,Self employed,No,At least once a week (Often),06-Dec,Discard,,No,,No,,Never heard of it,Yes,Don't mind,Yes,Because is healthy,Healthy,,Yes,Price,
04/07/2021 10:14,18-24,Female,Ghanaian,Ashanti,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),0-5,Discard,,Yes,Diaries,Yes,For calcium,,Yes,Like it and would want to try such products,Yes,If is good for the health why not,Healthy,,Yes,Health risk,
04/07/2021 10:14,18-24,Female,Ghanaian,Ashanti Region,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),06-Dec,Discard,,No,,No,,I don’t know,No,Have mixed feelings,No,Sounds odd,Healthy,,Yes,Taste,
04/07/2021 10:18,18-24,Male,Ghanaian,Greater Accra,Single,Tertiary,Student,No,At least once a week (Often),0-5,Discard,,No,,No,,Never heard of any,Yes,Don't mind,Yes,For the nutritional benefits,Healthy,,No,,
04/07/2021 10:22,18-24,Female,Ghanaian,Ashanti,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),0-5,Discard,,Yes,It serves as medicine. It can be added to porridge,Yes,For strong bones,,No,Like it and would want to try such products,Yes,For good health and as a form of business,Healthy,,Yes,Health risk,
04/07/2021 10:23,18-24,Male,Ghanaian,Greater Accra,Single,Tertiary,Student,Yes,Rarely,0-5,Discard,,No,,No,,Because I have no knowledge about eggshells,Yes,Don't mind,Yes,I will based on the benefits,Healthy,,Yes,Safety/Contamination,
04/07/2021 10:23,18-24,Male,Ghanaian,Kumasi,Single,Tertiary,Student,Yes,At least once a week (Often),0-5,Discard,,Yes,Calcium supplement,Yes,Bone and teeth development,,No,Would not like it,No,Taste,Convenience,,No,Taste,
04/07/2021 10:24,18-24,Male,Ghanaian,Greater Accra,Single,SHS/Vocational,Unemployed,Yes,At least once every 3 days (Very often),21+,Discard,,No,,Yes,,No reason,Yes,Like it and would want to try such products,Yes,I’m assuming it’d be healthy.,Healthy,,No,Price,
04/07/2021 10:25,18-24,Male,Ghanaian,Greater Accra,Single,Tertiary,Student,No,At least once a week (Often),06-Dec,Discard,,No,,Yes,,,No,Don't mind,Yes,It sounds interesting and seems like it could be beneficial,Healthy,,Yes,Taste,
04/07/2021 10:26,18-24,Male,Ghanaian,Kumasi,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),0-5,Discard,,No,,Yes,Strengthen bones b teeth,,Yes,Don't mind,Yes,Health benefits,Healthy,,Yes,Safety/Contamination,
04/07/2021 10:27,18-24,Female,Ghanaian,Greater Accra,Single,SHS/Vocational,Private sector,Yes,At least once every 3 days (Very often),06-Dec,Discard,,No,,No,,I don’t know know if there are any benefits,Yes,Don't mind,Yes,There’s no harm in trying,Healthy,,Yes,Taste,
04/07/2021 10:28,18-24,Male,Ghanaian,Ashanti,Single,Tertiary,Student,No,At least once every 3 days (Very often),0-5,Discard,,No,,No,,I know not of a calcium from eggshells,Yes,Like it and would want to try such products,Yes,I eat them every day,Healthy,,No,,
04/07/2021 10:28,18-24,Male,Ghanaian,Ashanti,Single,Tertiary,Student,No,At least once every 3 days (Very often),0-5,Discard,,No,,Yes,,,No,Don't mind,No,I don't know,Availability,,No,,
04/07/2021 10:32,18-24,Female,Ghanaian,Volta,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),0-5,Discard,,No,,Yes,Calcium help to strengthen our bones likewise this,,Yes,Have mixed feelings,Yes,To know more,Healthy,,No,,
04/07/2021 10:35,25-35,Male,Ghanaian,Accra,Single,Tertiary,Unemployed,Yes,At least once every 3 days (Very often),0-5,Discard,,Yes,It is rich in calcium and helps to build strong bones and teeth,Yes,Building strong bones and teeth,,Yes,Don't mind,Yes,"I’ll go for anything that has the potency of being beneficial to me in any way, especially when it comes to my health",Healthy,,Yes,Taste,
04/07/2021 10:37,18-24,Female,Ghanaian,Ashanti,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),06-Dec,Discard,,No,,No,,No idea if it does or not,Yes,Have mixed feelings,No,Never heard of it,Healthy,,Yes,Safety/Contamination,
04/07/2021 10:41,18-24,Male,Ghanaian,Ashanti region,Single,Tertiary,Student,Yes,At least once a week (Often),0-5,Discard,,No,,No,,,No,Don't mind,Yes,It is a good and cost effective source of calcium,Convenience,,Yes,Safety/Contamination,
04/07/2021 10:42,25-35,Male,Ghanaian,CENTRAL,Single,Primary,Civil servant,No,At least once every 3 days (Very often),0-5,Discard,,No,,No,,No idea,Yes,Have mixed feelings,Yes,For health benefit,Healthy,,No,Health risk,
04/07/2021 10:48,25-35,Male,Ghanaian,Ashanti,Single,Tertiary,Student,No,At least once a week (Often),0-5,Discard,,Yes,,Yes,,,Yes,Like it and would want to try such products,Yes,If it's benefiting,Healthy,,Yes,Safety/Contamination,
04/07/2021 10:50,18-24,Male,Ghanaian,Kumasi,Single,Tertiary,Student,No,Rarely,06-Dec,Discard,,No,,Yes,Egg shells strength bones and also improves bone mineral density .,,No,Don't mind,Yes,I would like to remineralize my teeth,Healthy,,No,,
04/07/2021 10:54,36-45,Male,Ghanaian,Ashanti,Single,Tertiary,Private sector,Yes,At least once every 3 days (Very often),0-5,Discard,I don't have time to process it for other uses,Yes,High is calcium,Yes,Helps in building strong teeth and bones,,Yes,Like it and would want to try such products,Yes,Once someone has taken the time to process it I'll buy because I know the importance of it as a product,Healthy,,No,,
04/07/2021 10:55,18-24,Male,Ghanaian,EAST LEGON,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),0-5,Discard,,No,,No,,Because i’ve never heard that eggshell gives any form of nutrients.,Yes,Don't mind,Yes,I’d like to try it.,Healthy,,Yes,Health risk,
04/07/2021 11:00,18-24,Female,Ghanaian,Central,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),06-Dec,Discard,,No,,No,,I have no idea of an secondary use of an egg shell,Yes,Would not like it,No,Nothing in particular. Just would not be comfortable,Healthy,,No,,
04/07/2021 11:03,18-24,Female,Ghanaian,Greater accra,Single,Tertiary,Unemployed,Yes,At least once every 3 days (Very often),0-5,Discard,,No,,No,,I do not know of any health benefits,Yes,Like it and would want to try such products,Yes,Because it contains calcium,Healthy,,Yes,Taste,
04/07/2021 11:03,25-35,Male,Non-Ghanaian,Ashanti Regiom,Single,Tertiary,Student,Yes,At least once a week (Often),06-Dec,Discard,,No,,No,,I have no idea,Yes,Like it and would want to try such products,Yes,I know calcium is good for the bones,Healthy,,Yes,Health risk,
04/07/2021 11:09,18-24,Female,Ghanaian,Ashanti Region,Single,SHS/Vocational,Student,Yes,At least once a week (Often),Dec-20,Discard,,Yes,,Yes,,,Yes,Don't mind,Yes,.,Healthy,,Yes,Safety/Contamination,
04/07/2021 11:09,18-24,Female,Ghanaian,Ashanti,Single,Tertiary,Student,Yes,At least once a month (Occasionally),0-5,Discard,,No,,Yes,General benefits of calcium. Strong bones and teeth,,Yes,Don't mind,Yes,As a way of trying something new,Curiosity,Curiosity,Yes,Health risk,
04/07/2021 11:22,25-35,Male,Ghanaian,Kumasi,Single,Tertiary,Private sector,Yes,At least once every 3 days (Very often),0-5,Other use,,No,,Yes,Strong bones,,Yes,Like it and would want to try such products,Yes,Beneficial,Healthy,,No,,
04/07/2021 11:27,18-24,Male,Ghanaian,Greater Accra,Single,Tertiary,Student,No,At least once every 3 days (Very often),06-Dec,Discard,,No,,No,,I haven't heard anything about benefits of egg shell,Yes,Don't mind,Yes,As long as it is healthy I wouldn't mind trying it,Healthy,,Yes,Safety/Contamination,
04/07/2021 11:28,18-24,Male,Ghanaian,Western,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),0-5,Discard,,No,,Yes,Don't know,,Yes,Like it and would want to try such products,Yes,Will be good for my health,Healthy,,No,,
04/07/2021 11:40,18-24,Female,Ghanaian,Ashanti Region,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),0-5,Discard,,Yes,As an abrasive for cleaning,Yes,It is rich in calcium.,,No,Don't mind,Yes,Egg shells are very cost-friendly and readily available.,Healthy,,Yes,Taste,
04/07/2021 11:50,18-24,Female,Ghanaian,Ashanti,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),06-Dec,Discard,,No,,No,For strong bones,,No,Have mixed feelings,Yes,I'd like to try it,Healthy,,No,,
04/07/2021 11:51,18-24,Female,Ghanaian,Ashanti,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),0-5,Discard,,Yes,Calcium source,Yes,Rich in calcium,,Yes,Would not like it,No,Depends on the how the manufacturer handles its hygiene,Healthy,,Yes,Safety/Contamination,
04/07/2021 12:00,18-24,Female,Ghanaian,Northern region,Single,Tertiary,Student,No,At least once every 3 days (Very often),0-5,Discard,,No,,No,,I don’t know,Yes,Have mixed feelings,No,I don’t see any usefulness of it,Healthy,,Yes,Health risk,
04/07/2021 12:04,18-24,Female,Ghanaian,Greater accra,Single,Tertiary,Unemployed,Yes,At least once every 3 days (Very often),0-5,Discard,,No,,No,,I do not know of any health benefits,Yes,Like it and would want to try such products,Yes,Because it contains calcium,Healthy,,Yes,Taste,
04/07/2021 12:15,18-24,Male,Ghanaian,Ashanti region,Single,Tertiary,Student,No,At least once a week (Often),0-5,Discard,,No,,Yes,Building of strong bones and teeth,,No,Don't mind,No,Because I have got nothing important to do with them.,Healthy,,Yes,Health risk,
04/07/2021 12:20,18-24,Female,Ghanaian,Ashanti,Single,Tertiary,Student,Yes,At least once a week (Often),0-5,Discard,,No,,No,,I don’t know of any benefits,Yes,Don't mind,Yes,"If it’s healthy, i think that’s okay",Healthy,,Yes,Taste,
04/07/2021 12:24,18-24,Male,Ghanaian,Kumasi,Single,Tertiary,Student,Yes,At least once a week (Often),0-5,Discard,,Yes,Calcium supplement,Yes,Bone and teeth development,,No,Would not like it,No,Taste,Convenience,,No,Taste,
04/07/2021 12:24,18-24,Female,Ghanaian,Ashanti Region,Single,Tertiary,Unemployed,No,At least once every 3 days (Very often),06-Dec,Discard,,No,,Yes,,,Yes,Like it and would want to try such products,Yes,Because it's healthy,Healthy,,Yes,Safety/Contamination,
04/07/2021 12:39,18-24,Male,Ghanaian,Western,Single,Tertiary,Student,Yes,At least once a week (Often),0-5,Discard,,No,,Yes,Egg shell is composed mainly of calcium carbonate..so it's a rich source of calcium,,No,Don't mind,Yes,"Since it's a source of calcium, consuming it will improve my health",Healthy,,No,,
04/07/2021 12:41,18-24,Male,Ghanaian,Bono,Single,SHS/Vocational,Student,Yes,At least once a week (Often),0-5,Discard,,No,,Yes,,,No,Like it and would want to try such products,Yes,Fortified foods are good because they provide extra nutrients without spending too much money on extra foodstuffs,Healthy,,Yes,,"The eggshell powder may change the characteristics of the product. Like the taste, appearance, texture etc"
04/07/2021 12:43,18-24,Male,Ghanaian,Accra,Single,SHS/Vocational,Student,Yes,At least once every 3 days (Very often),06-Dec,Discard,,No,,Yes,,,No,Like it and would want to try such products,Yes,Just to see the effects,Healthy,,Yes,Health risk,
04/07/2021 12:56,18-24,Female,Ghanaian,Accra,Single,Tertiary,Student,No,At least once a week (Often),0-5,Discard,,No,,Yes,,,No,Don't mind,Yes,Why not,If it was an absolute need,,No,,
04/07/2021 13:13,18-24,Female,Ghanaian,Western,Single,Tertiary,Student,Yes,At least once a week (Often),0-5,Other use,Fertilizer,Yes,Cleaning dirty utensils,Yes,,,Yes,Have mixed feelings,Yes,Making good use of eggshells,Healthy,,Yes,Health risk,
04/07/2021 13:30,25-35,Female,Ghanaian,Ashanti,Married,Tertiary,Civil servant,Yes,At least once every 3 days (Very often),06-Dec,Discard,,No,,Yes,,,Yes,Like it and would want to try such products,Yes,For health reasons,Healthy,,Yes,Taste,
04/07/2021 13:35,18-24,Male,Non-Ghanaian,Ashanti,Single,Tertiary,Civil servant,No,At least once a week (Often),0-5,Discard,,No,,Yes,An alternative source to getting calcium,,No,Like it and would want to try such products,Yes,It would provide calcium in food products i eat usually.,Healthy,,No,,
04/07/2021 13:40,18-24,Female,Ghanaian,Ashanti,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),Dec-20,Discard,,Yes,Contains calcium,Yes,,,No,Don't mind,No,I don’t know,Healthy,,No,Safety/Contamination,
04/07/2021 13:41,25-35,Male,Ghanaian,Ashanti,Single,Tertiary,Self employed,Yes,At least once a week (Often),0-5,Discard,,No,,Yes,,,No,Like it and would want to try such products,Yes,It is vital for body growth.,Healthy,,No,Health risk,
04/07/2021 13:44,18-24,Male,Ghanaian,Bono region,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),06-Dec,Discard,,No,,No,,,Yes,Have mixed feelings,Yes,To try,Healthy,,Yes,Safety/Contamination,
04/07/2021 13:50,18-24,Male,Ghanaian,Half Assini/ Western,Single,Tertiary,Student,Yes,At least once a month (Occasionally),0-5,Discard,,No,,Yes,Source of calcium,,Yes,Like it and would want to try such products,Yes,Because I think it will be a good source of calcium,Healthy,,No,Safety/Contamination,
04/07/2021 13:57,18-24,Female,Ghanaian,Ashanti region,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),06-Dec,Discard,,No,,Yes,"Since there is calcium in it, it will help strengthen our bones and muscles.",,No,Don't mind,Yes,It would improve my health,Convenience,,Yes,Safety/Contamination,
04/07/2021 13:58,18-24,Male,Ghanaian,Central,Single,Tertiary,Student,Yes,Rarely,0-5,Discard,,Yes,Source of calcium and also used to make paper,Yes,,,No,Like it and would want to try such products,Yes,Calcium helps for strong bones and teeth,Healthy,,Yes,,
04/07/2021 13:58,36-45,Male,Ghanaian,Accra,Single,Tertiary,Private sector,Yes,At least once every 3 days (Very often),0-5,Discard,,No,,No,,I don’t know,Yes,Don't mind,Yes,For good health,Healthy,,Yes,Health risk,
04/07/2021 14:03,18-24,Female,Ghanaian,"Kumasi, Ashanti",Single,Tertiary,Civil servant,Yes,Rarely,06-Dec,Discard,,Yes,I heard it can be taken in as a supplement because it is rich in calcium,Yes,"Since it's rich in calcium, it's good for teeth and bones",,Yes,Have mixed feelings,Yes,"Since it's healthy, it's good for me.",Healthy,,Yes,Safety/Contamination,
04/07/2021 14:13,18-24,Female,Ghanaian,Ashanti region,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),06-Dec,Discard,,No,,No,,,Yes,Don't mind,Yes,Because of thé nutritional benefit,Healthy,,Yes,Safety/Contamination,
04/07/2021 14:15,18-24,Female,Ghanaian,Central,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),06-Dec,Discard,,No,,No,,,Yes,Don't mind,Yes,Because it won't be good for everyone's health,Healthy,,Yes,Health risk,
04/07/2021 14:16,25-35,Female,Ghanaian,Ashanti region,Single,Tertiary,Self employed,Yes,At least once every 3 days (Very often),Dec-20,Discard,,No,,Yes,Build bones,,No,Like it and would want to try such products,Yes,Calcium is good,Healthy,,No,,
04/07/2021 14:17,25-35,Male,Ghanaian,Greater Accra,Single,Tertiary,Self employed,No,At least once a month (Occasionally),0-5,Discard,,No,,No,,Didn't consider it,Yes,Have mixed feelings,No,Because it's weird,Convenience,,Yes,Safety/Contamination,
04/07/2021 14:19,18-24,Male,Ghanaian,Pokuase/ Greater Accra,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),0-5,Discard,,No,,No,,I don’t,Yes,Have mixed feelings,No,I don’t any ‘waste’ in my food,Healthy,,Yes,Safety/Contamination,
04/07/2021 14:25,18-24,Male,Ghanaian,Kasoa/ Central region,Single,Tertiary,Student,No,At least once a week (Often),0-5,Discard,,Yes,"For baking, and painting",No,,,Yes,Have mixed feelings,Yes,To enrich body nutrients,Healthy,,Yes,Safety/Contamination,
04/07/2021 14:26,18-24,Male,Ghanaian,Greater Accra-Adenta,Single,Tertiary,Student,No,At least once every 3 days (Very often),06-Dec,Discard,,No,,Yes,Helps prevent osteoporosis,,No,Don't mind,Yes,Would like to try it,Healthy,,No,,
04/07/2021 14:34,18-24,Male,Ghanaian,Central,Single,Tertiary,Student,Yes,At least once a week (Often),0-5,Discard,,No,,Yes,Calcium,,Yes,Like it and would want to try such products,Yes,It is because it will entirely made of calcium,Healthy,,Yes,Safety/Contamination,
04/07/2021 14:49,18-24,Female,Ghanaian,Kumasi,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),0-5,Discard,,No,,Yes,Calcium,,No,Like it and would want to try such products,Yes,Its an opportunity for a new product to be brought out,Convenience,,Yes,Safety/Contamination,
04/07/2021 14:54,18-24,Male,Ghanaian,Ashanti,Single,Tertiary,Student,Yes,At least once a month (Occasionally),0-5,Discard,,No,,No,,,No,Have mixed feelings,Yes,If it tastes fine no problem,Convenience,,Yes,Taste,
04/07/2021 15:08,18-24,Female,Ghanaian,Kumasi,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),0-5,Discard,,No,,No,,,Yes,Don't mind,Yes,If it’s healthy then I think it’s good,Healthy,,Yes,Safety/Contamination,
04/07/2021 15:09,18-24,Male,Ghanaian,Gbawe - Greater Accra,Single,Tertiary,Student,No,At least once a week (Often),0-5,Discard,,No,,Yes,Every nutrient carries a benefit of the people,,No,Have mixed feelings,Yes,Just to know how it will taste,Healthy,,Yes,Taste,
04/07/2021 15:15,25-35,Female,Ghanaian,Accra,Single,Tertiary,Self employed,Yes,At least once a week (Often),0-5,Discard,,No,,No,,Beacuse it can be harmful,No,Have mixed feelings,No,Because I don't think I can purchase it,Healthy,,Yes,Health risk,
04/07/2021 15:22,18-24,Male,Ghanaian,Eastern,Single,Tertiary,Student,No,At least once a week (Often),0-5,Discard,,No,,No,,Never really considered consuming it.,Yes,Have mixed feelings,Yes,To explore into a new variety of food products,Healthy,,Yes,Safety/Contamination,
04/07/2021 15:23,18-24,Male,Ghanaian,Accra,Single,Tertiary,Student,No,At least once every 3 days (Very often),0-5,Other use,For manure,Yes,"For animal feed, to introduce calcium into the feed of the poultry",No,,I haven't researched yet,Yes,Have mixed feelings,No,I don't know the real implications and the good of it to the market,Healthy,,No,,
04/07/2021 15:25,18-24,Female,Ghanaian,Cape Coast,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),06-Dec,Discard,,No,,No,,Never heard before,Yes,Have mixed feelings,No,Never tried anything like that,Healthy,,Yes,Taste,
04/07/2021 15:34,18-24,Male,Ghanaian,France,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),0-5,Discard,,Yes,Used in terms of farming to provide calcium to vegetables,Yes,Helps to improve bone density,,Yes,Would not like it,No,-The reason being that egg shells are also sources of Salmonella and could easily cause food borne illness if not processed,Because it is a rich natural source of calcium,,Yes,Safety/Contamination,
,,,,,,,,,,,,,,Can be mixed with animal feed,,They come along with other minerals in trace amounts,,,,,-Also the general appearance of egg shell in itself is not appealing for me to have it in my product.,,,,,
,,,,,,,,,,,,,,Used in chemical reactions that require Calcium,,,,,,,,,,,,
04/07/2021 15:39,25-35,Male,Ghanaian,Greater Accra,Single,SHS/Vocational,Private sector,No,At least once every 3 days (Very often),0-5,Discard,,No,,Yes,,,No,Don't mind,Yes,Because of the nutrition,Healthy,,No,,
04/07/2021 15:39,18-24,Female,Ghanaian,Ashanti region,Single,Tertiary,Student,Yes,At least once a week (Often),0-5,Discard,,No,,Yes,"As I know the shells contain calcium, there will be a use for it but I don’t know any",,No,Have mixed feelings,No,I’m indifferent but more towards the no as trying new things generally takes some time,Convenience,,Yes,Safety/Contamination,The multiple choice could have more than one answer so please check it
04/07/2021 16:07,18-24,Male,Non-Ghanaian,Tema,Single,Tertiary,Private sector,No,At least once every 3 days (Very often),0-5,Discard,,Yes,Used as calcium supplement,Yes,Source of calcium.,,No,Don't mind,Yes,"Because of it's increased nutritional value, as long as the sensory quality of the original product is not adversely affected.",Convenience,,Yes,Taste,
04/07/2021 16:08,36-45,Male,Ghanaian,Accra/ Greater Accra,Married,Tertiary,Private sector,Yes,At least once every 3 days (Very often),0-5,Discard,,No,,No,,,Yes,Like it and would want to try such products,Yes,Healthy,Healthy,,No,,
04/07/2021 16:08,18-24,Female,Ghanaian,Ashanti,Single,Tertiary,Self employed,Yes,At least once a week (Often),0-5,Discard,,No,,No,,I don't believe it has any benefits,Yes,Have mixed feelings,No,I'm not comfortable with the idea,Healthy,,Yes,Health risk,
